"ikey";"Location";"Source";"Dating";"Language";"ID";"uncertain_dating";"DAT_min";"DAT_max"
NA;"Apamea";"AE 2000, 1364; SEG 46: 1595";"Roman Imp. period";"Greek";"I_1";FALSE;-31;395
"PH277625";"Apamea";"IK Apameia (Bith.) u. Pylai 105";"Roman Imp. period";"Greek";"I_2";FALSE;-31;395
"PH277633";"Apamea";"IK Apameia (Bith.) u. Pylai 113";"Roman Imp. period";"Greek";"I_3";FALSE;-31;395
"PH277559";"Apamea";"IK Apameia (Bith.) u. Pylai 3";"Roman Imp. period";"Greek";"I_4";FALSE;-31;395
"PH277607";"Apamea";"IK Apameia (Bith.) u. Pylai 49";"Roman Imp. period";"Greek/Latin";"I_5";FALSE;-31;395
"PH277601";"Apamea";"IK Apameia (Bith.) u. Pylai 44";"end of the 2nd c. AD";"Greek";"I_6";FALSE;180;199
"PH277587";"Apamea";"IK Apameia (Bith.) u. Pylai 30";"Late Roman Imp./                  Early Byzantine period";"Greek";"I_7";FALSE;193;565
"PH277569";"Apamea";"IK Apameia (Bith.) u. Pylai 13";"Late Roman Imp. period";"Greek";"I_8";FALSE;193;395
"PH277582";"Apamea";"IK Apameia (Bith.) u. Pylai 26";"Late Roman Imp. period";"Greek";"I_9";FALSE;193;395
"PH277581";"Apamea";"IK Apameia (Bith.) u. Pylai 25";"Late Hellenistic/                Early Roman Imp. period";"Greek";"I_10";FALSE;-150;69
"PH277660";"Apamea";"IK Apameia (Bith.) u. Pylai 138";"Late Hellenistic period";"Greek";"I_11";FALSE;-150;-74
"PH277595";"Apamea";"IK Apameia (Bith.) u. Pylai 38";"end of the 2nd c. AD";"Greek";"I_12";TRUE;180;199
"PH277572";"Apamea";"IK Apameia (Bith.) u. Pylai 16";"end of 1st c. BC – beg. of 1st c. AD";"Greek";"I_13";FALSE;-20;20
"PH277637";"Apamea";"IK Apameia (Bith.) u. Pylai 117";"end 2nd c. BC";"Greek";"I_14";TRUE;-120;-100
"PH277629";"Apamea";"IK Apameia (Bith.) u. Pylai 109";"Early/Middle Roman Imp. p.";"Greek";"I_15";FALSE;-31;192
"PH277600";"Apamea";"IK Apameia (Bith.) u. Pylai 43";"Early/Middle Roman Imp. p.";"Greek";"I_16";FALSE;-31;192
"PH277639";"Apamea";"IK Apameia (Bith.) u. Pylai 119";"Early Roman Imp. period";"Greek";"I_17";FALSE;-31;69
"PH277642";"Apamea";"IK Apameia (Bith.) u. Pylai 122";"early 1st c. AD";"Greek";"I_18";FALSE;0;20
"PH277622";"Apamea";"IK Apameia (Bith.) u. Pylai 102";"ca. 200 AD";"Greek";"I_19";FALSE;190;210
"PH277626";"Apamea";"IK Apameia (Bith.) u. Pylai 106";"ca. 200 AD";"Greek";"I_20";FALSE;190;210
"PH277578";"Apamea";"IK Apameia (Bith.) u. Pylai 22";"ca. 200 AD";"Greek";"I_21";FALSE;190;210
"PH277598";"Apamea";"IK Apameia (Bith.) u. Pylai 41";"ca. 100 AD";"Greek";"I_22";FALSE;90;110
"PH277630";"Apamea";"IK Apameia (Bith.) u. Pylai 110";"Byzantine period";"Greek";"I_23";FALSE;395;799
"PH277631";"Apamea";"IK Apameia (Bith.) u. Pylai 111";"Byzantine period";"Greek";"I_24";FALSE;395;799
"PH277632";"Apamea";"IK Apameia (Bith.) u. Pylai 112";"Byzantine period";"Greek";"I_25";FALSE;395;799
"PH277647";"Apamea";"IK Apameia (Bith.) u. Pylai 127";"Byzantine period";"Greek";"I_26";FALSE;395;799
"PH277648";"Apamea";"IK Apameia (Bith.) u. Pylai 128";"Byzantine period";"Greek";"I_27";FALSE;395;799
"PH277649";"Apamea";"IK Apameia (Bith.) u. Pylai 129";"Byzantine period";"Greek";"I_28";FALSE;395;799
"PH277650";"Apamea";"IK Apameia (Bith.) u. Pylai 130";"Byzantine period";"Greek";"I_29";FALSE;395;799
"PH277651";"Apamea";"IK Apameia (Bith.) u. Pylai 131";"Byzantine period";"Greek";"I_30";FALSE;395;799
"PH277652";"Apamea";"IK Apameia (Bith.) u. Pylai 132";"Byzantine period";"Greek";"I_31";FALSE;395;799
"PH277653";"Apamea";"IK Apameia (Bith.) u. Pylai 133";"Byzantine period";"Greek";"I_32";FALSE;395;799
"PH277654";"Apamea";"IK Apameia (Bith.) u. Pylai 134";"Byzantine period";"Greek";"I_33";FALSE;395;799
"PH277655";"Apamea";"IK Apameia (Bith.) u. Pylai 135";"Byzantine period";"Greek";"I_34";FALSE;395;799
"PH277657";"Apamea";"IK Apameia (Bith.) u. Pylai 136[2]";"Byzantine period";"Greek";"I_35";FALSE;395;799
"PH277658";"Apamea";"IK Apameia (Bith.) u. Pylai 136[3]";"Byzantine period";"Greek";"I_36";FALSE;395;799
"PH277659";"Apamea";"IK Apameia (Bith.) u. Pylai 137";"Byzantine period";"Greek";"I_37";FALSE;395;799
"PH277602";"Apamea";"IK Apameia (Bith.) u. Pylai 45";"Byzantine period";"Greek";"I_38";FALSE;395;799
"PH277624";"Apamea";"IK Apameia (Bith.) u. Pylai 103";"after 212 AD";"Greek";"I_39";FALSE;212;250
"PH277656";"Apamea";"IK Apameia (Bith.) u. Pylai 136;     SEG 45: 1692";"AD 531";"Greek";"I_40";FALSE;531;531
"PH277558";"Apamea";"IK Apameia (Bith.) u. Pylai 2";"69–79 AD";"Latin";"I_41";FALSE;69;79
NA;"Apamea";"SEG 46: 1593";"5th/6th century AD";"Greek";"I_42";FALSE;400;599
"PH277603";"Apamea";"IK Apameia (Bith.) u. Pylai 45A";"5th c. AD";"Greek";"I_43";TRUE;400;499
"PH277646";"Apamea";"IK Apameia (Bith.) u. Pylai 126";"585 AD";"Greek";"I_44";FALSE;585;585
"PH277617";"Apamea";"IK Apameia (Bith.) u. Pylai 59";"573 AD";"Greek";"I_45";FALSE;573;573
NA;"Apamea";"SEG 46: 1594";"3rd/4th century AD";"Greek";"I_46";FALSE;200;399
