"Vase.Number";"Technique";"DAT_min";"DAT_max"
"10110";10957;"BLACK-FIGURE";-550;-500
"65669";352414;"RED-FIGURE";-525;-475
"51010";220668;"RED-FIGURE";-450;-400
"30714";44405;"RED-FIGURE";-550;-500
"28086";32407;"BLACK-FIGURE";-550;-500
"38532";205697;"RED-FIGURE";-500;-450
"26241";30476;"RED-FIGURE";-475;-425
"54701";300724;"BLACK-FIGURE";-575;-525
"1148";1228;"BLACK-FIGURE";-500;-450
"20041";22320;"RED-FIGURE";-400;-300
"6569";7198;"BLACK-FIGURE";-500;-450
"54681";300704;"BLACK-FIGURE";-575;-525
"39068";206234;"RED-FIGURE";-500;-450
"56283";302332;"BLACK-FIGURE";-550;-500
"8341";9076;"RED-FIGURE";-450;-400
"50240";218132;"RED-FIGURE";-400;-300
"16687";18433;"BLACK-FIGURE";-575;-525
"7599";8280;"BLACK-FIGURE";-575;-525
"46742";214625;"RED-FIGURE";-475;-425
"19714";21983;"RED-FIGURE";-500;-450
"66694";390259;"BLACK-FIGURE";-525;-475
"27102";31385;"RED-FIGURE";-475;-425
"37700";204851;"RED-FIGURE";-500;-450
"14401";15602;"BLACK-FIGURE";-550;-500
"13174";14287;"RED-FIGURE";-475;-425
"7711";8393;"BLACK-FIGURE";-525;-475
"8673";9432;"BLACK-FIGURE";-600;-550
"88035";9008728;"RED-FIGURE";-400;-300
"8373";9117;"BLACK-FIGURE";-550;-500
"46597";214480;"RED-FIGURE";-475;-425
"84822";9005469;"RED-FIGURE";-450;-400
"16778";18529;"BLACK-FIGURE";-550;-500
"59883";310274;"BLACK-FIGURE";-575;-525
"24096";28253;"BLACK-FIGURE";-525;-475
"614";659;"BLACK-FIGURE";-500;-450
"28170";32493;"RED-FIGURE";-400;-300
"14439";15686;"BLACK-FIGURE";-525;-475
"61411";330758;"BLACK-FIGURE";-525;-475
"26996";31262;"BLACK-FIGURE";-600;-550
"65438";352170;"BLACK-FIGURE";-525;-475
"51841";230800;"RED-FIGURE";-400;-300
"55697";301746;"BLACK-FIGURE";-550;-500
"83132";9003754;"RED-FIGURE";-400;-300
"54985";301008;"BLACK-FIGURE";-575;-525
"49428";217319;"RED-FIGURE";-450;-400
"26571";30828;"BLACK-FIGURE";-550;-500
"27449";31748;"BLACK-FIGURE";-525;-475
"28736";41550;"RED-FIGURE";-475;-425
"23560";25938;"BLACK-FIGURE";-500;-450
"40547";207723;"RED-FIGURE";-475;-425
"40387";207563;"RED-FIGURE";-475;-425
"97042";9017925;"RED-FIGURE";-500;-450
"26079";30297;"BLACK-FIGURE";-625;-575
"1019";1093;"BLACK-FIGURE";-600;-550
"61813";331168;"BLACK-FIGURE";-550;-500
"87008";9007694;"BLACK-FIGURE";-525;-475
"55931";301980;"BLACK-FIGURE";-550;-500
"60410";320218;"BLACK-FIGURE";-550;-500
"64237";350882;"BLACK-FIGURE";-550;-500
"26783";31047;"BLACK-FIGURE";-525;-475
"34454";201539;"RED-FIGURE";-525;-475
"14374";15573;"BLACK-FIGURE";-525;-475
"40849";208029;"RED-FIGURE";-475;-425
"24734";28918;"BLACK-FIGURE";-525;-475
"95374";9016228;"BLACK-FIGURE";-525;-475
"30640";44324;"BLACK-FIGURE";-500;-450
"52327";240061;"RED-FIGURE";-425;-375
"40404";207580;"RED-FIGURE";-475;-425
"9152";9949;"RED-FIGURE";-475;-425
"28083";32404;"BLACK-FIGURE";-550;-500
"27468";31768;"RED-FIGURE";-525;-475
"16047";17779;"RED-FIGURE";-450;-400
"49559";217450;"RED-FIGURE";-450;-400
"97130";9018014;"BLACK-FIGURE";-550;-500
"27017";31284;"BLACK-FIGURE";-525;-475
"47356";215239;"RED-FIGURE";-450;-400
"26740";31004;"BLACK-FIGURE";-650;-600
"60509";320317;"BLACK-FIGURE";-550;-500
"24118";28276;"BLACK-FIGURE";-550;-500
"65467";352201;"BLACK-FIGURE";-525;-475
"27845";32156;"BLACK-FIGURE";-550;-500
"95494";9016350;"BLACK-FIGURE";-525;-475
"98766";9019695;"BLACK-FIGURE";-525;-475
"64262";350907;"BLACK-FIGURE";-550;-500
"23129";25467;"BLACK-FIGURE";-525;-475
"34478";201563;"RED-FIGURE";-525;-475
"21047";23352;"BLACK-FIGURE";-525;-475
"66364";361459;"BLACK-FIGURE";-525;-475
"7223";7889;"BLACK-FIGURE";-525;-475
"57777";305167;"BLACK-FIGURE";-600;-550
"27487";31787;"BLACK-FIGURE";-500;-450
