ikey	Location	Source	Chronological Frame	Language
	Apamea	AE 2000, 1364; SEG 46: 1595	Roman Imp. period	Greek
PH277625	Apamea	IK Apameia (Bith.) u. Pylai 105	Roman Imp. period	Greek
PH277633	Apamea	IK Apameia (Bith.) u. Pylai 113	Roman Imp. period	Greek
PH277559	Apamea	IK Apameia (Bith.) u. Pylai 3	Roman Imp. period	Greek
PH277607	Apamea	IK Apameia (Bith.) u. Pylai 49	Roman Imp. period	Gr/Lat
PH277601	Apamea	IK Apameia (Bith.) u. Pylai 44	end of the 2nd c. AD	Greek
PH277587	Apamea	IK Apameia (Bith.) u. Pylai 30	Late Roman Imp./                  Early Byzantine period	Greek
PH277569	Apamea	IK Apameia (Bith.) u. Pylai 13	Late Roman Imp. period	Greek
PH277582	Apamea	IK Apameia (Bith.) u. Pylai 26	Late Roman Imp. period	Greek
PH277581	Apamea	IK Apameia (Bith.) u. Pylai 25	Late Hellenistic/                Early Roman Imp. period	Greek
PH277660	Apamea	IK Apameia (Bith.) u. Pylai 138	Late Hellenistic period	Greek
PH277595	Apamea	IK Apameia (Bith.) u. Pylai 38	end of the 2nd c. AD?	Greek
PH277572	Apamea	IK Apameia (Bith.) u. Pylai 16	end of 1st c. BC – beg. of 1st c. AD	Greek
PH277637	Apamea	IK Apameia (Bith.) u. Pylai 117	end 2nd c. BC?	Greek
PH277629	Apamea	IK Apameia (Bith.) u. Pylai 109	Early/Middle Roman Imp. p.	Greek
PH277600	Apamea	IK Apameia (Bith.) u. Pylai 43	Early/Middle Roman Imp. p.	Greek
PH277639	Apamea	IK Apameia (Bith.) u. Pylai 119	Early Roman Imp. period	Greek
PH277642	Apamea	IK Apameia (Bith.) u. Pylai 122	early 1st c. AD	Greek
PH277622	Apamea	IK Apameia (Bith.) u. Pylai 102	ca. 200 AD	Greek
PH277626	Apamea	IK Apameia (Bith.) u. Pylai 106	ca. 200 AD	Greek
PH277578	Apamea	IK Apameia (Bith.) u. Pylai 22	ca. 200 AD	Greek
PH277598	Apamea	IK Apameia (Bith.) u. Pylai 41	ca. 100 AD	Greek
PH277630	Apamea	IK Apameia (Bith.) u. Pylai 110	Byzantine period	Greek
PH277631	Apamea	IK Apameia (Bith.) u. Pylai 111	Byzantine period	Greek
PH277632	Apamea	IK Apameia (Bith.) u. Pylai 112	Byzantine period	Greek
PH277647	Apamea	IK Apameia (Bith.) u. Pylai 127	Byzantine period	Greek
PH277648	Apamea	IK Apameia (Bith.) u. Pylai 128	Byzantine period	Greek
PH277649	Apamea	IK Apameia (Bith.) u. Pylai 129	Byzantine period	Greek
PH277650	Apamea	IK Apameia (Bith.) u. Pylai 130	Byzantine period	Greek
PH277651	Apamea	IK Apameia (Bith.) u. Pylai 131	Byzantine period	Greek
PH277652	Apamea	IK Apameia (Bith.) u. Pylai 132	Byzantine period	Greek
PH277653	Apamea	IK Apameia (Bith.) u. Pylai 133	Byzantine period	Greek
PH277654	Apamea	IK Apameia (Bith.) u. Pylai 134	Byzantine period	Greek
PH277655	Apamea	IK Apameia (Bith.) u. Pylai 135	Byzantine period	Greek
PH277657	Apamea	IK Apameia (Bith.) u. Pylai 136[2]	Byzantine period	Greek
PH277658	Apamea	IK Apameia (Bith.) u. Pylai 136[3]	Byzantine period	Greek
PH277659	Apamea	IK Apameia (Bith.) u. Pylai 137	Byzantine period	Greek
PH277602	Apamea	IK Apameia (Bith.) u. Pylai 45	Byzantine period	Greek
PH277624	Apamea	IK Apameia (Bith.) u. Pylai 103	after 212 AD	Greek
PH277656	Apamea	IK Apameia (Bith.) u. Pylai 136;     SEG 45: 1692	AD 531	Greek
PH277558	Apamea	IK Apameia (Bith.) u. Pylai 2	69–79 AD	Latin
	Apamea	SEG 46: 1593	5th/6th century AD	Greek
PH277603	Apamea	IK Apameia (Bith.) u. Pylai 45A	5th c. AD?	Greek
PH277646	Apamea	IK Apameia (Bith.) u. Pylai 126	585 AD	Greek
PH277617	Apamea	IK Apameia (Bith.) u. Pylai 59	573 AD	Greek
	Apamea	SEG 46: 1594	3rd/4th century AD	Greek
PH277643	Apamea	IK Apameia (Bith.) u. Pylai 123	3rd c. BC	Greek
PH277623	Apamea	IK Apameia (Bith.) u. Pylai 103	3rd c. AD	Greek
PH277627	Apamea	IK Apameia (Bith.) u. Pylai 107	3rd c. AD	Greek
PH277584	Apamea	IK Apameia (Bith.) u. Pylai 27A	3rd c. AD	Greek
PH277564	Apamea	IK Apameia (Bith.) u. Pylai 8	3rd c. AD	Greek
PH277641	Apamea	IK Apameia (Bith.) u. Pylai 121	2nd c. BC	Greek
PH277645	Apamea	IK Apameia (Bith.) u. Pylai 125	2nd c. BC	Greek
PH277580	Apamea	IK Apameia (Bith.) u. Pylai 24	2nd c. AD?	Greek
PH277561	Apamea	IK Apameia (Bith.) u. Pylai 5	2nd c. AD?	Greek
PH277562	Apamea	IK Apameia (Bith.) u. Pylai 6	2nd c. AD?	Greek
PH277628	Apamea	IK Apameia (Bith.) u. Pylai 108	2nd c. AD	Greek
PH279921	Apamea	SEG 41: 1090	2nd – 3rd c. AD	Greek
PH277662	Apamea	IK Apameia (Bith.) u. Pylai 140	2nd – 1st c. BC?	Greek
PH277620	Apamea	IK Apameia (Bith.) u. Pylai 62	260/261 AD	Greek
PH277664	Apamea	IK Apameia (Bith.) u. Pylai 142	250–300 AD	Greek
PH277596	Apamea	IK Apameia (Bith.) u. Pylai 39	250–300 AD	Greek
PH277663	Apamea	IK Apameia (Bith.) u. Pylai 141	200–250 AD	Greek
PH279922	Apamea	SEG 41: 1091	200–150 BC	Greek
PH277638	Apamea	IK Apameia (Bith.) u. Pylai 118	1st c. BC	Greek
PH277597	Apamea	IK Apameia (Bith.) u. Pylai 40	1st c. AD?	Greek
PH277640	Apamea	IK Apameia (Bith.) u. Pylai 120	1st c. AD	Greek
PH277644	Apamea	IK Apameia (Bith.) u. Pylai 124	1st c. AD	Greek
PH277609	Apamea	IK Apameia (Bith.) u. Pylai 51	1st c. AD	Latin
PH277635	Apamea	IK Apameia (Bith.) u. Pylai 115	1st – beg. of the 2nd c. AD	Greek
PH277661	Apamea	IK Apameia (Bith.) u. Pylai 139	1st – 2nd c. AD	Greek
PH277604	Apamea	IK Apameia (Bith.) u. Pylai 46	1st – 2nd c. AD	Greek
PH279923	Apamea	SEG 41: 1092	1st – 2nd c. AD	Greek
PH277634	Apamea	IK Apameia (Bith.) u. Pylai 114	178–187 AD	Greek
PH277560	Apamea	IK Apameia (Bith.) u. Pylai 4	128/129 AD	Latin
HD049164	Apamea	AE 1998, 1288	117 AD	Latin
PH277557	Apamea	IK Apameia (Bith.) u. Pylai 1	11 AD	Latin
PH277566	Apamea	IK Apameia (Bith.) u. Pylai 10	---	Greek
PH277567	Apamea	IK Apameia (Bith.) u. Pylai 11	---	Greek
PH277636	Apamea	IK Apameia (Bith.) u. Pylai 116	---	Greek
PH277568	Apamea	IK Apameia (Bith.) u. Pylai 12	---	Greek
PH277570	Apamea	IK Apameia (Bith.) u. Pylai 14	---	Greek
PH277665	Apamea	IK Apameia (Bith.) u. Pylai 143	---	Greek
PH277666	Apamea	IK Apameia (Bith.) u. Pylai 144	---	Greek
PH277571	Apamea	IK Apameia (Bith.) u. Pylai 15	---	Latin
PH277573	Apamea	IK Apameia (Bith.) u. Pylai 17	---	Latin
PH277574	Apamea	IK Apameia (Bith.) u. Pylai 18	---	Gr/Lat
PH277575	Apamea	IK Apameia (Bith.) u. Pylai 19	---	Latin
PH277576	Apamea	IK Apameia (Bith.) u. Pylai 20	---	Greek
PH277577	Apamea	IK Apameia (Bith.) u. Pylai 21	---	Latin
PH277579	Apamea	IK Apameia (Bith.) u. Pylai 23	---	Latin
PH277583	Apamea	IK Apameia (Bith.) u. Pylai 27	---	Greek
PH277585	Apamea	IK Apameia (Bith.) u. Pylai 28	---	Greek
PH277586	Apamea	IK Apameia (Bith.) u. Pylai 29	---	Greek
PH277588	Apamea	IK Apameia (Bith.) u. Pylai 31	---	Greek
PH277589	Apamea	IK Apameia (Bith.) u. Pylai 32	---	Greek
PH277590	Apamea	IK Apameia (Bith.) u. Pylai 33	---	Greek
PH277591	Apamea	IK Apameia (Bith.) u. Pylai 34	---	Greek
PH277592	Apamea	IK Apameia (Bith.) u. Pylai 35	---	Greek
PH277593	Apamea	IK Apameia (Bith.) u. Pylai 36	---	Greek
PH277594	Apamea	IK Apameia (Bith.) u. Pylai 37	---	Greek
PH277599	Apamea	IK Apameia (Bith.) u. Pylai 42	---	Greek
PH277605	Apamea	IK Apameia (Bith.) u. Pylai 47	---	Greek
PH277606	Apamea	IK Apameia (Bith.) u. Pylai 48	---	Greek
PH277608	Apamea	IK Apameia (Bith.) u. Pylai 50	---	Greek
PH277610	Apamea	IK Apameia (Bith.) u. Pylai 52	---	Greek
PH277611	Apamea	IK Apameia (Bith.) u. Pylai 53	---	Greek
PH277612	Apamea	IK Apameia (Bith.) u. Pylai 54	---	Greek
PH277613	Apamea	IK Apameia (Bith.) u. Pylai 55	---	Greek
PH277614	Apamea	IK Apameia (Bith.) u. Pylai 56	---	Greek
PH277615	Apamea	IK Apameia (Bith.) u. Pylai 57	---	Greek
PH277616	Apamea	IK Apameia (Bith.) u. Pylai 58	---	Greek
PH277563	Apamea	IK Apameia (Bith.) u. Pylai 7	---	Greek
PH277565	Apamea	IK Apameia (Bith.) u. Pylai 9	---	Greek
	Apollonia ad Rhyndacum	SEG 59: 1416	Roman Imperial period	Greek
	Apollonia ad Rhyndacum	SEG 60: 1318	AD 200 - 210	Greek
	Apollonia ad Rhyndacum	JHS 17, 270, 11	AD 117–138 	Greek
	Apollonia ad Rhyndacum	SEG 46: 1596	2nd century AD	Greek
	Apollonia ad Rhyndacum	JHS 17, 269, 5	---	Greek
	Apollonia ad Rhyndacum	JHS 17, 269, 6	---	Greek
	Apollonia ad Rhyndacum	JHS 17, 270, 7a	---	Greek
	Apollonia ad Rhyndacum	JHS 17, 270, 7b	---	Greek
	Apollonia ad Rhyndacum	JHS 17, 270, 8	---	Greek
	Apollonia ad Rhyndacum	JHS 17, 270, 9	---	Greek
	Apollonia ad Rhyndacum	JHS 17, 270, 10	---	Greek
	Apollonia ad Rhyndacum	SEG 60: 1319	---	Greek
	Caesarea Germanice	SEG 61: 1040	Roman Imperial period	Greek
	Caesarea Germanice	AE 2007, 1331	AD 81–96	Greek
PH277667	Caesarea Germanice	EpigrAnat 15, 34, 1	AD 180–212	Greek
PH277668	Caesarea Germanice	EpigrAnat 15, 36, 2	2nd – 3rd c. AD	Greek
PH277669	Caesarea Germanice	EpigrAnat 15, 37, 3	---	Greek
PH279276	Chalcedon	IK Kalchedon 50	Roman Imp. period	Greek
PH279280	Chalcedon	IK Kalchedon 54	Roman Imp. period	Latin
PH279281	Chalcedon	IK Kalchedon 55	Roman Imp. period	Latin
PH279282	Chalcedon	IK Kalchedon 56	Roman Imp. period	Latin
PH279933	Chalcedon	SEG 42: 1110	Roman Imp. period	Greek
PH279853	Chalcedon	SEG 37: 1029	Late? Roman Imp. period	Greek
PH279270	Chalcedon	IK Kalchedon 44	Late Hellenistic period	Greek
PH279274	Chalcedon	IK Kalchedon 48	Late Hellenistic period	Greek
PH279275	Chalcedon	IK Kalchedon 49	Late Hellenistic period	Greek
PH279231	Chalcedon	IK Kalchedon 5	late 3rd – early 2nd c. BC	Greek
PH279229	Chalcedon	IK Kalchedon 3	Hellenistic period	Greek
PH279262	Chalcedon	IK Kalchedon 36	Hellenistic period	Greek
PH279263	Chalcedon	IK Kalchedon 37	Hellenistic period	Greek
PH279264	Chalcedon	IK Kalchedon 38	Hellenistic period	Greek
PH279265	Chalcedon	IK Kalchedon 39	Hellenistic period	Greek
PH279266	Chalcedon	IK Kalchedon 40	Hellenistic period	Greek
PH279267	Chalcedon	IK Kalchedon 41	Hellenistic period	Greek
PH279232	Chalcedon	IK Kalchedon 6	Hellenistic period	Greek
PH279233	Chalcedon	IK Kalchedon 7	Hellenistic period	Greek
PH279823	Chalcedon	SEG 35: 1299	Hellenistic period	Greek
PH279283	Chalcedon	IK Kalchedon 57	Early Roman period	Greek
PH279284	Chalcedon	IK Kalchedon 58	Early Roman period	Greek
PH279831	Chalcedon	SEG 36: 1145	Chr.–Byz.	Greek
PH279832	Chalcedon	SEG 36: 1146	Chr.–Byz.	Greek
PH279295	Chalcedon	IK Kalchedon 69	after 212 AD	Greek
PH279833	Chalcedon	SEG 36: 1147	AD	Greek
PH279938	Chalcedon	SEG 43: 895	AD	Greek
PH279241	Chalcedon	IK Kalchedon 15	82 BC	Greek
PH279244	Chalcedon	IK Kalchedon 18	81–96 AD	Greek
PH279256	Chalcedon	IK Kalchedon 30	6th c. BC	Greek
PH279891	Chalcedon	SEG 37: 1062	6th c. AD?	Greek
PH279895	Chalcedon	SEG 37: 1067	6th c. AD	Greek
PH279873	Chalcedon	SEG 37: 1045	5th – 6th c. AD?	Greek
PH279874	Chalcedon	SEG 37: 1046	5th – 6th c. AD?	Greek
PH279875	Chalcedon	SEG 37: 1047	5th – 6th c. AD?	Greek
PH279307	Chalcedon	IK Kalchedon 81	5th – 6th c. AD	Greek
PH279856	Chalcedon	SEG 37: 1032	5th – 6th c. AD	Greek
PH279876	Chalcedon	SEG 37: 1048	5th – 6th c. AD	Greek
PH279897	Chalcedon	SEG 37: 1069	5th – 6th c. AD	Greek
PH279893	Chalcedon	SEG 37: 1065	582–602 AD	Greek
PH279358	Chalcedon	IK Kalchedon 121	564 AD	Greek
PH279247	Chalcedon	IK Kalchedon 21,a	527–565 AD	Greek
PH279248	Chalcedon	IK Kalchedon 21,b	527–565 AD	Greek
PH279249	Chalcedon	IK Kalchedon 21,c	527–565 AD	Greek
PH279242	Chalcedon	IK Kalchedon 16	4th c. BC	Greek
PH279251	Chalcedon	IK Kalchedon 22[1]	452 AD	Greek
PH279818	Chalcedon	SEG 34: 1262	452 AD	Greek
PH279250	Chalcedon	IK Kalchedon 22	450 AD	Greek
PH279778	Chalcedon	SEG 27: 816	3rd quarter of the 6th c. BC	Greek
PH279785	Chalcedon	SEG 28: 1661	3rd c. BC?	Greek
PH279239	Chalcedon	IK Kalchedon 13	3rd c. BC	Greek
PH279257	Chalcedon	IK Kalchedon 31	3rd c. BC	Greek
PH279273	Chalcedon	IK Kalchedon 47	3rd c. BC	Greek
PH279236	Chalcedon	IK Kalchedon 10	3rd – 2nd c. BC	Greek
