"","ikey","Location","Source","Chronological.Frame","Language"
"1","","Apamea","AE 2000, 1364; SEG 46: 1595","Roman Imp. period","Greek"
"2","PH277625","Apamea","IK Apameia (Bith.) u. Pylai 105","Roman Imp. period","Greek"
"3","PH277633","Apamea","IK Apameia (Bith.) u. Pylai 113","Roman Imp. period","Greek"
"4","PH277559","Apamea","IK Apameia (Bith.) u. Pylai 3","Roman Imp. period","Greek"
"5","PH277607","Apamea","IK Apameia (Bith.) u. Pylai 49","Roman Imp. period","Gr/Lat"
"6","PH277601","Apamea","IK Apameia (Bith.) u. Pylai 44","end of the 2nd c. AD","Greek"
"7","PH277587","Apamea","IK Apameia (Bith.) u. Pylai 30","Late Roman Imp./                  Early Byzantine period","Greek"
"8","PH277569","Apamea","IK Apameia (Bith.) u. Pylai 13","Late Roman Imp. period","Greek"
"9","PH277582","Apamea","IK Apameia (Bith.) u. Pylai 26","Late Roman Imp. period","Greek"
"10","PH277581","Apamea","IK Apameia (Bith.) u. Pylai 25","Late Hellenistic/                Early Roman Imp. period","Greek"
"11","PH277660","Apamea","IK Apameia (Bith.) u. Pylai 138","Late Hellenistic period","Greek"
"12","PH277595","Apamea","IK Apameia (Bith.) u. Pylai 38","end of the 2nd c. AD?","Greek"
"13","PH277572","Apamea","IK Apameia (Bith.) u. Pylai 16","end of 1st c. BC - beg. of 1st c. AD","Greek"
"14","PH277637","Apamea","IK Apameia (Bith.) u. Pylai 117","end 2nd c. BC?","Greek"
"15","PH277629","Apamea","IK Apameia (Bith.) u. Pylai 109","Early/Middle Roman Imp. p.","Greek"
"16","PH277600","Apamea","IK Apameia (Bith.) u. Pylai 43","Early/Middle Roman Imp. p.","Greek"
"17","PH277639","Apamea","IK Apameia (Bith.) u. Pylai 119","Early Roman Imp. period","Greek"
"18","PH277642","Apamea","IK Apameia (Bith.) u. Pylai 122","early 1st c. AD","Greek"
"19","PH277622","Apamea","IK Apameia (Bith.) u. Pylai 102","ca. 200 AD","Greek"
"20","PH277626","Apamea","IK Apameia (Bith.) u. Pylai 106","ca. 200 AD","Greek"
"21","PH277578","Apamea","IK Apameia (Bith.) u. Pylai 22","ca. 200 AD","Greek"
"22","PH277598","Apamea","IK Apameia (Bith.) u. Pylai 41","ca. 100 AD","Greek"
"23","PH277630","Apamea","IK Apameia (Bith.) u. Pylai 110","Byzantine period","Greek"
"24","PH277631","Apamea","IK Apameia (Bith.) u. Pylai 111","Byzantine period","Greek"
"25","PH277632","Apamea","IK Apameia (Bith.) u. Pylai 112","Byzantine period","Greek"
"26","PH277647","Apamea","IK Apameia (Bith.) u. Pylai 127","Byzantine period","Greek"
"27","PH277648","Apamea","IK Apameia (Bith.) u. Pylai 128","Byzantine period","Greek"
"28","PH277649","Apamea","IK Apameia (Bith.) u. Pylai 129","Byzantine period","Greek"
"29","PH277650","Apamea","IK Apameia (Bith.) u. Pylai 130","Byzantine period","Greek"
"30","PH277651","Apamea","IK Apameia (Bith.) u. Pylai 131","Byzantine period","Greek"
"31","PH277652","Apamea","IK Apameia (Bith.) u. Pylai 132","Byzantine period","Greek"
"32","PH277653","Apamea","IK Apameia (Bith.) u. Pylai 133","Byzantine period","Greek"
"33","PH277654","Apamea","IK Apameia (Bith.) u. Pylai 134","Byzantine period","Greek"
"34","PH277655","Apamea","IK Apameia (Bith.) u. Pylai 135","Byzantine period","Greek"
"35","PH277657","Apamea","IK Apameia (Bith.) u. Pylai 136[2]","Byzantine period","Greek"
"36","PH277658","Apamea","IK Apameia (Bith.) u. Pylai 136[3]","Byzantine period","Greek"
"37","PH277659","Apamea","IK Apameia (Bith.) u. Pylai 137","Byzantine period","Greek"
"38","PH277602","Apamea","IK Apameia (Bith.) u. Pylai 45","Byzantine period","Greek"
"39","PH277624","Apamea","IK Apameia (Bith.) u. Pylai 103","after 212 AD","Greek"
"40","PH277656","Apamea","IK Apameia (Bith.) u. Pylai 136;     SEG 45: 1692","AD 531","Greek"
"41","PH277558","Apamea","IK Apameia (Bith.) u. Pylai 2","69-79 AD","Latin"
"42","","Apamea","SEG 46: 1593","5th/6th century AD","Greek"
"43","PH277603","Apamea","IK Apameia (Bith.) u. Pylai 45A","5th c. AD?","Greek"
"44","PH277646","Apamea","IK Apameia (Bith.) u. Pylai 126","585 AD","Greek"
"45","PH277617","Apamea","IK Apameia (Bith.) u. Pylai 59","573 AD","Greek"
"46","","Apamea","SEG 46: 1594","3rd/4th century AD","Greek"
"47","PH277643","Apamea","IK Apameia (Bith.) u. Pylai 123","3rd c. BC","Greek"
"48","PH277623","Apamea","IK Apameia (Bith.) u. Pylai 103","3rd c. AD","Greek"
"49","PH277627","Apamea","IK Apameia (Bith.) u. Pylai 107","3rd c. AD","Greek"
"50","PH277584","Apamea","IK Apameia (Bith.) u. Pylai 27A","3rd c. AD","Greek"
"51","PH277564","Apamea","IK Apameia (Bith.) u. Pylai 8","3rd c. AD","Greek"
"52","PH277641","Apamea","IK Apameia (Bith.) u. Pylai 121","2nd c. BC","Greek"
"53","PH277645","Apamea","IK Apameia (Bith.) u. Pylai 125","2nd c. BC","Greek"
"54","PH277580","Apamea","IK Apameia (Bith.) u. Pylai 24","2nd c. AD?","Greek"
"55","PH277561","Apamea","IK Apameia (Bith.) u. Pylai 5","2nd c. AD?","Greek"
"56","PH277562","Apamea","IK Apameia (Bith.) u. Pylai 6","2nd c. AD?","Greek"
"57","PH277628","Apamea","IK Apameia (Bith.) u. Pylai 108","2nd c. AD","Greek"
"58","PH279921","Apamea","SEG 41: 1090","2nd - 3rd c. AD","Greek"
"59","PH277662","Apamea","IK Apameia (Bith.) u. Pylai 140","2nd - 1st c. BC?","Greek"
"60","PH277620","Apamea","IK Apameia (Bith.) u. Pylai 62","260/261 AD","Greek"
"61","PH277664","Apamea","IK Apameia (Bith.) u. Pylai 142","250-300 AD","Greek"
"62","PH277596","Apamea","IK Apameia (Bith.) u. Pylai 39","250-300 AD","Greek"
"63","PH277663","Apamea","IK Apameia (Bith.) u. Pylai 141","200-250 AD","Greek"
"64","PH279922","Apamea","SEG 41: 1091","200-150 BC","Greek"
"65","PH277638","Apamea","IK Apameia (Bith.) u. Pylai 118","1st c. BC","Greek"
"66","PH277597","Apamea","IK Apameia (Bith.) u. Pylai 40","1st c. AD?","Greek"
"67","PH277640","Apamea","IK Apameia (Bith.) u. Pylai 120","1st c. AD","Greek"
"68","PH277644","Apamea","IK Apameia (Bith.) u. Pylai 124","1st c. AD","Greek"
"69","PH277609","Apamea","IK Apameia (Bith.) u. Pylai 51","1st c. AD","Latin"
"70","PH277635","Apamea","IK Apameia (Bith.) u. Pylai 115","1st - beg. of the 2nd c. AD","Greek"
"71","PH277661","Apamea","IK Apameia (Bith.) u. Pylai 139","1st - 2nd c. AD","Greek"
"72","PH277604","Apamea","IK Apameia (Bith.) u. Pylai 46","1st - 2nd c. AD","Greek"
"73","PH279923","Apamea","SEG 41: 1092","1st - 2nd c. AD","Greek"
"74","PH277634","Apamea","IK Apameia (Bith.) u. Pylai 114","178-187 AD","Greek"
"75","PH277560","Apamea","IK Apameia (Bith.) u. Pylai 4","128/129 AD","Latin"
"76","HD049164","Apamea","AE 1998, 1288","117 AD","Latin"
"77","PH277557","Apamea","IK Apameia (Bith.) u. Pylai 1","11 AD","Latin"
"78","PH277566","Apamea","IK Apameia (Bith.) u. Pylai 10","---","Greek"
"79","PH277567","Apamea","IK Apameia (Bith.) u. Pylai 11","---","Greek"
"80","PH277636","Apamea","IK Apameia (Bith.) u. Pylai 116","---","Greek"
"81","PH277568","Apamea","IK Apameia (Bith.) u. Pylai 12","---","Greek"
"82","PH277570","Apamea","IK Apameia (Bith.) u. Pylai 14","---","Greek"
"83","PH277665","Apamea","IK Apameia (Bith.) u. Pylai 143","---","Greek"
"84","PH277666","Apamea","IK Apameia (Bith.) u. Pylai 144","---","Greek"
"85","PH277571","Apamea","IK Apameia (Bith.) u. Pylai 15","---","Latin"
"86","PH277573","Apamea","IK Apameia (Bith.) u. Pylai 17","---","Latin"
"87","PH277574","Apamea","IK Apameia (Bith.) u. Pylai 18","---","Gr/Lat"
"88","PH277575","Apamea","IK Apameia (Bith.) u. Pylai 19","---","Latin"
"89","PH277576","Apamea","IK Apameia (Bith.) u. Pylai 20","---","Greek"
"90","PH277577","Apamea","IK Apameia (Bith.) u. Pylai 21","---","Latin"
"91","PH277579","Apamea","IK Apameia (Bith.) u. Pylai 23","---","Latin"
"92","PH277583","Apamea","IK Apameia (Bith.) u. Pylai 27","---","Greek"
"93","PH277585","Apamea","IK Apameia (Bith.) u. Pylai 28","---","Greek"
"94","PH277586","Apamea","IK Apameia (Bith.) u. Pylai 29","---","Greek"
"95","PH277588","Apamea","IK Apameia (Bith.) u. Pylai 31","---","Greek"
"96","PH277589","Apamea","IK Apameia (Bith.) u. Pylai 32","---","Greek"
"97","PH277590","Apamea","IK Apameia (Bith.) u. Pylai 33","---","Greek"
"98","PH277591","Apamea","IK Apameia (Bith.) u. Pylai 34","---","Greek"
"99","PH277592","Apamea","IK Apameia (Bith.) u. Pylai 35","---","Greek"
"100","PH277593","Apamea","IK Apameia (Bith.) u. Pylai 36","---","Greek"
"101","PH277594","Apamea","IK Apameia (Bith.) u. Pylai 37","---","Greek"
"102","PH277599","Apamea","IK Apameia (Bith.) u. Pylai 42","---","Greek"
"103","PH277605","Apamea","IK Apameia (Bith.) u. Pylai 47","---","Greek"
"104","PH277606","Apamea","IK Apameia (Bith.) u. Pylai 48","---","Greek"
"105","PH277608","Apamea","IK Apameia (Bith.) u. Pylai 50","---","Greek"
"106","PH277610","Apamea","IK Apameia (Bith.) u. Pylai 52","---","Greek"
"107","PH277611","Apamea","IK Apameia (Bith.) u. Pylai 53","---","Greek"
"108","PH277612","Apamea","IK Apameia (Bith.) u. Pylai 54","---","Greek"
"109","PH277613","Apamea","IK Apameia (Bith.) u. Pylai 55","---","Greek"
"110","PH277614","Apamea","IK Apameia (Bith.) u. Pylai 56","---","Greek"
"111","PH277615","Apamea","IK Apameia (Bith.) u. Pylai 57","---","Greek"
"112","PH277616","Apamea","IK Apameia (Bith.) u. Pylai 58","---","Greek"
"113","PH277563","Apamea","IK Apameia (Bith.) u. Pylai 7","---","Greek"
"114","PH277565","Apamea","IK Apameia (Bith.) u. Pylai 9","---","Greek"
"115","","Apollonia ad Rhyndacum","SEG 59: 1416","Roman Imperial period","Greek"
"116","","Apollonia ad Rhyndacum","SEG 60: 1318","AD 200 - 210","Greek"
"117","","Apollonia ad Rhyndacum","JHS 17, 270, 11","AD 117-138 ","Greek"
"118","","Apollonia ad Rhyndacum","SEG 46: 1596","2nd century AD","Greek"
"119","","Apollonia ad Rhyndacum","JHS 17, 269, 5","---","Greek"
"120","","Apollonia ad Rhyndacum","JHS 17, 269, 6","---","Greek"
"121","","Apollonia ad Rhyndacum","JHS 17, 270, 7a","---","Greek"
"122","","Apollonia ad Rhyndacum","JHS 17, 270, 7b","---","Greek"
"123","","Apollonia ad Rhyndacum","JHS 17, 270, 8","---","Greek"
"124","","Apollonia ad Rhyndacum","JHS 17, 270, 9","---","Greek"
"125","","Apollonia ad Rhyndacum","JHS 17, 270, 10","---","Greek"
"126","","Apollonia ad Rhyndacum","SEG 60: 1319","---","Greek"
"127","","Caesarea Germanice","SEG 61: 1040","Roman Imperial period","Greek"
"128","","Caesarea Germanice","AE 2007, 1331","AD 81-96","Greek"
"129","PH277667","Caesarea Germanice","EpigrAnat 15, 34, 1","AD 180-212","Greek"
"130","PH277668","Caesarea Germanice","EpigrAnat 15, 36, 2","2nd - 3rd c. AD","Greek"
"131","PH277669","Caesarea Germanice","EpigrAnat 15, 37, 3","---","Greek"
"132","PH279276","Chalcedon","IK Kalchedon 50","Roman Imp. period","Greek"
"133","PH279280","Chalcedon","IK Kalchedon 54","Roman Imp. period","Latin"
"134","PH279281","Chalcedon","IK Kalchedon 55","Roman Imp. period","Latin"
"135","PH279282","Chalcedon","IK Kalchedon 56","Roman Imp. period","Latin"
"136","PH279933","Chalcedon","SEG 42: 1110","Roman Imp. period","Greek"
"137","PH279853","Chalcedon","SEG 37: 1029","Late? Roman Imp. period","Greek"
"138","PH279270","Chalcedon","IK Kalchedon 44","Late Hellenistic period","Greek"
"139","PH279274","Chalcedon","IK Kalchedon 48","Late Hellenistic period","Greek"
"140","PH279275","Chalcedon","IK Kalchedon 49","Late Hellenistic period","Greek"
"141","PH279231","Chalcedon","IK Kalchedon 5","late 3rd - early 2nd c. BC","Greek"
"142","PH279229","Chalcedon","IK Kalchedon 3","Hellenistic period","Greek"
"143","PH279262","Chalcedon","IK Kalchedon 36","Hellenistic period","Greek"
"144","PH279263","Chalcedon","IK Kalchedon 37","Hellenistic period","Greek"
"145","PH279264","Chalcedon","IK Kalchedon 38","Hellenistic period","Greek"
"146","PH279265","Chalcedon","IK Kalchedon 39","Hellenistic period","Greek"
"147","PH279266","Chalcedon","IK Kalchedon 40","Hellenistic period","Greek"
"148","PH279267","Chalcedon","IK Kalchedon 41","Hellenistic period","Greek"
"149","PH279232","Chalcedon","IK Kalchedon 6","Hellenistic period","Greek"
"150","PH279233","Chalcedon","IK Kalchedon 7","Hellenistic period","Greek"
"151","PH279823","Chalcedon","SEG 35: 1299","Hellenistic period","Greek"
"152","PH279283","Chalcedon","IK Kalchedon 57","Early Roman period","Greek"
"153","PH279284","Chalcedon","IK Kalchedon 58","Early Roman period","Greek"
"154","PH279831","Chalcedon","SEG 36: 1145","Chr.-Byz.","Greek"
"155","PH279832","Chalcedon","SEG 36: 1146","Chr.-Byz.","Greek"
"156","PH279295","Chalcedon","IK Kalchedon 69","after 212 AD","Greek"
"157","PH279833","Chalcedon","SEG 36: 1147","AD","Greek"
"158","PH279938","Chalcedon","SEG 43: 895","AD","Greek"
"159","PH279241","Chalcedon","IK Kalchedon 15","82 BC","Greek"
"160","PH279244","Chalcedon","IK Kalchedon 18","81-96 AD","Greek"
"161","PH279256","Chalcedon","IK Kalchedon 30","6th c. BC","Greek"
"162","PH279891","Chalcedon","SEG 37: 1062","6th c. AD?","Greek"
"163","PH279895","Chalcedon","SEG 37: 1067","6th c. AD","Greek"
"164","PH279873","Chalcedon","SEG 37: 1045","5th - 6th c. AD?","Greek"
"165","PH279874","Chalcedon","SEG 37: 1046","5th - 6th c. AD?","Greek"
