"","Dating","DAT_min","DAT_max"
"1","Roman Imp. period",NA,NA
"2","Late Roman Imp./                  Early Byzantine period",NA,NA
"3","Late Roman Imp. period",NA,NA
"4","Late Hellenistic/                Early Roman Imp. period",NA,NA
"5","Late Hellenistic period",NA,NA
"6","Early/Middle Roman Imp. p.",NA,NA
"7","Early Roman Imp. period",NA,NA
"8","Byzantine period",NA,NA
"9",NA,NA,NA
"10","Roman Imperial period",NA,NA
"11","Hellenistic period",NA,NA
"12","Early Roman period",NA,NA
"13","Chr.–Byz.",NA,NA
"14","AD",NA,NA
"15","Christian",NA,NA
"16","Antonine or Severan",NA,NA
"17","Roman period",NA,NA
"18","Roman",NA,NA
"19","early Byzantine period",NA,NA
"20","Middle Roman Imp. period",NA,NA
"21","Late Roman Imp. p.",NA,NA
"22","Late Hellenistic/                 Early Roman imp. period",NA,NA
"23","Late Hellenistic/                  Early Roman imp. period",NA,NA
"24","Late Hellenistic",NA,NA
"25","Early Byzantine period",NA,NA
"26","Roman Imp. period ",NA,NA
"27","Late Hellenistic/                 Early Roman Imp. period",NA,NA
"28","Late Hellenistic/                  Early Roman Imp. period",NA,NA
"29","Late Hellenistic/                   Early Roman Imp. period",NA,NA
"30","Early Roman",NA,NA
